emotion,intensity,socialInteraction,productivity,overwhelmed,RId
happy,1,rarely,yes,yes,happy1
happy,1,rarely,yes,no,happy1
happy,1,rarely,no,yes,happy1
happy,1,rarely,no,no,happy1
happy,1,rarely,unsure,yes,happy1
happy,1,rarely,unsure,no,happy1
happy,1,occasionally,yes,yes,happy1
happy,1,occasionally,yes,no,happy2
happy,1,occasionally,no,yes,happy1
happy,1,occasionally,no,no,happy1
happy,1,occasionally,unsure,yes,happy5
happy,1,occasionally,unsure,no,happy1
happy,1,frequently,yes,yes,happy1
happy,1,frequently,yes,no,happy5
happy,1,frequently,no,yes,happy1
happy,1,frequently,no,no,happy1
happy,1,frequently,unsure,yes,happy2
happy,1,frequently,unsure,no,happy1
happy,2,rarely,yes,yes,happy4
happy,2,rarely,yes,no,happy1
happy,2,rarely,no,yes,happy2
happy,2,rarely,no,no,happy2
happy,2,rarely,unsure,yes,happy2
happy,2,rarely,unsure,no,happy2
happy,2,occasionally,yes,yes,happy2
happy,2,occasionally,yes,no,happy3
happy,2,occasionally,no,yes,happy2
happy,2,occasionally,no,no,happy2
happy,2,occasionally,unsure,yes,happy2
happy,2,occasionally,unsure,no,happy2
happy,2,frequently,yes,yes,happy2
happy,2,frequently,yes,no,happy2
happy,2,frequently,no,yes,happy2
happy,2,frequently,no,no,happy2
happy,2,frequently,unsure,yes,happy1
happy,2,frequently,unsure,no,happy2
happy,3,rarely,yes,yes,happy2
happy,3,rarely,yes,no,happy2
happy,3,rarely,no,yes,happy2
happy,3,rarely,no,no,happy2
happy,3,rarely,unsure,yes,happy2
happy,3,rarely,unsure,no,happy2
happy,3,occasionally,yes,yes,happy4
happy,3,occasionally,yes,no,happy2
happy,3,occasionally,no,yes,happy2
happy,3,occasionally,no,no,happy4
happy,3,occasionally,unsure,yes,happy2
happy,3,occasionally,unsure,no,happy2
happy,3,frequently,yes,yes,happy2
happy,3,frequently,yes,no,happy2
happy,3,frequently,no,yes,happy2
happy,3,frequently,no,no,happy2
happy,3,frequently,unsure,yes,happy2
happy,3,frequently,unsure,no,happy2
happy,4,rarely,yes,yes,happy3
happy,4,rarely,yes,no,happy3
happy,4,rarely,no,yes,happy3
happy,4,rarely,no,no,happy3
happy,4,rarely,unsure,yes,happy2
happy,4,rarely,unsure,no,happy3
happy,4,occasionally,yes,yes,happy3
